Artist,Track,Activities,Rdio ID
Ugly Duckling,Audacity,House Activities,t6517351
Jurassic 5,Concrete Schoolyard,"Sitting,House Activities",t2862261
Ludacris,Get Back,"Biking,Running,Exercising",t5605750
Jay Z,99 Problems,"Biking,Running,Exercising",t2702383
The Vines,Ride,"Biking,Running,Exercising",t2566964
Supertramp,The Logical Song,Sitting,t2872902
Aerosmith,Jaded,"Driving,House Activities",t2895207
The Beatles,Twist and Shout,"Sitting,House Activities,Driving",t699805
The Cardigans,Lovefool,"Driving,Sitting",t2428380
Gorillaz,Stylo,"Driving,Sitting,House Acitivites",t2055717
Linkin Park,Forgotten,"Biking,Exercising",t1166536
The Killers,Jenny was a Friend of Mine,"Running,Sitting,Driving",t2835387
Muse,The New Born,"Sitting,Driving",t1146618
Ray Charles,Hit the Road Jack,"Sitting,House Activities,Driving",t209375
Blondie,Rapture,"Sitting,Driving",t2054684
The Living End,End of the World,Exercising,t1198379
Rancid,Fall Back Down,"Exercising,Driving",t1261957
Ramones,I Wanna be Sedated,Driving,t1180411
The Offspring,"You're Gonna Go Far, Kid","Driving,Running",t2945352
Two Door Cinema,"Eat That Up, It's Good For You","Jogging,Running,Biking,Driving",t3325670
The Maine,I Must Be Dreaming,"Jogging,Running,Biking",t1162521
We the Kings,What You Do To Me,"Jogging,Running,Biking",t2469422
Motion City Soundtrack,Everything is Alright,"Running,Biking,Driving",t1146438
Cobra Starship,Bring It (Snakes On A Plane),"Running,Driving",t1268729
Lifehouse,Hanging By A Moment,Sitting,t2862387
Miike Snow,Animal,"Sitting,Talking,Walking",t2813904
Daft Punk,Digital Love,"Sitting,Talking",t1983025
Goo Goo Dolls,Slide,"Sitting,Talking,Walking,Jogging",t1212386
Glen Hansard and Marketa Irglova,Falling Slowly,"Sitting,Talking",t2885365
Elton John,Your Song,"Sitting,Talking",t2911444
Semisonic,Closing Time,"Sitting,Talking",t2847480
John Legend,Ordinary People,"Sitting,Talking",t2893797
Maroon 5,Sunday Morning,"Sitting,Talking,Walking",t2803688
Scott Joplin,Pine Apple Rag,"Sitting,Talking,Walking",t5787135
Nine Days,Story of a Girl,"Sitting,Walking,Driving",t3563738
Fountains of Wayne,Hey Julie,"Sitting,Walking,Jogging",t2476280
Hellogoodbye,When We First Met,"Sitting,Walking,Jogging,Running,Driving",t6387015
Metro Station,California,"Walking,Biking,Driving",t3510824
Michael Buble,Haven't Met You Yet,"Walking,Jogging,Running",t1284186
Kavinsky,Nightcall,Driving,t6217950
Nirvana,The Man Who Sold The World,"Sitting,Talking",t2713058
Nirvana,Smells Like Teen Spirit,"Running,Jogging,Driving",t6649806
Black Keys,Tighten Up,"Running,Jogging,Driving",t1895453
Black Keys,Howlin' For You,"Running,Jogging,Driving",t2629850
Black Keys,Black Mud,"Driving,Sitting,Walking",t2629856
Two Door Cinema,What You Know,"Driving,Running",t3325620
Cults,Go Outside,"Driving,Running,Walking",t7762880
Daft Punk,Nocturne,"Sitting,Driving, talking",t7116224
Geto Boys,G Code,"Jogging, Running, Driving", t4779091
Beastie Boys,Sabotage,"Jogging, Running, Driving", t2457688
Moby,Extreme Ways,Sitting,t2495906
Jack's Mannequin,The Lights and Buzz,"Jogging, Sitting",t1240437
REM,Losing My Religion,"Sitting, Jogging, Driving",t1145865
The Cars,Moving in Stereo,"Sitting, Jogging, Driving",t1197405
Mickey Avalon,My Dick,"Jogging, Walking, Running, Driving",t3366673
Golden Earring,Radar Love,"Jogging, Running, Driving",t2905827
Scorpion,Rock You Like a Hurricane,"Running, Jogging", t2826040
Heart,Barracuda,"Running, Jogging, Driving",t2893397
Loverboy,Working for the Weekend,"Running, Jogging, Driving",t2891624
Guns N' Roses,Welcome to the Jungle,"Running, Jogging, Driving",t1512750
Disturbed,Liberate,"Running, Jogging, Driving",t1207835
Korn,Love Song,"Running, Jogging, Driving, Sitting",t2065835
Guns N' Roses,Knockin' on Heaven's Doors,"Jogging, sitting, house activities",t3293485
Macy Gray,I Try,"Jogging, Sitting", t2917200
Miley Cyrus,Party in the U.S.A,"Jogging, Running, Driving, Sitting",t3950152
Ke$ha,Tik Tok,"Running, Jogging, Driving",t2894310
Tenacious D,Master Exploder,"Running, Jogging, Driving",t2916085
The Doors,Break on Through,"Running, Jogging, Driving", t1151390
Frank Sinatra,Fly Me To the Moon,"Sitting, Jogging",t6787516
Jason Derulo,In My Head,"Biking, Driving",t1695377
 Rusted Root,Send Me On My Way,"Biking, Driving",t1695377
Elvis Presley,Devil in Disguise,"Biking, Driving",t2887160
Taylor Swift,Forever and Always,"Jogging, Running, Biking, Driving",t3470422
Katy Perry,Thinking of You,"Sitting, Walking, Driving",t1340233
The Script,The Man Who Can't Be Moved ,"Sitting, Talking, Walking",t2891653
Yellowcard,Believe,"Sitting, Biking, Driving",t2217338
Jack Johnson,Banana Pancakes,"Sitting, Talking, Walking, Driving",t2790957
Relient K,I So Hate Consequences,"Running, Biking, Driving",t2148734
Carolina Liar,Show Me What I'm Looking For,"Sitting, Talking, Walking, Driving",t1227699
Cold Play,Fix You,"Sitting, Talking",t2272242
Phil Collins,You'll Be In My Heart,"Sitting, Talking",t1630965
The Spill Canvas,Lullaby,"Sitting, Talking",t1222652
The Wreckers,Leave the Pieces,"Sitting, Talking, Walking, Driving",t1154902
blink-182,The Rock Show,"Running, Biking, Driving",t2585272
B.o.B.,Magic,"Jogging, Running, Biking, Driving",t5186392
Bowling for Soup,Almost,"Sitting, Driving",t2901479
City and Colour,The Girl,"Sitting, Talking, Walking",t4000328
Jack's Mannequin,The Mixed Tape,"Sitting, Talking, Walking, Jogging, Running, Biking, Driving",t1221907
Jimmy Eat World,Your House,"Sitting, Talking, Walking, Jogging, Driving",t2838049
Joshua Radin,I'd Rather Be With You,"Sitting, Talking",t3342065
Michelle Branch,Breathe,"Sitting, Talking, Biking, Driving",t1150613
Paramore,Misery Business,"Running, Biking, Driving",t1232959
Sugarcult,Memory,"Sitting, Talking, Walking, Driving",t4815063
Switchfoot,Awakening,"Sitting, Walking, Jogging, Running, Biking, Driving",t2900892
Sum 41,Fat Lip,"Walking, Jogging, Running, Biking, Driving",t2904953

Bryan Adams,Run to you,"House work, sitting, walking",t2872489
Greg Kinh's Band,Jeopardy,"House Work, walking",t8088133
Red Hot Chili Peppers,Higher Ground,"House Work, walking",t2129149
Good Charlotte,I Just Wanna Live,"House Work, walking, jogging, running",t3034044
Ugly Duckling,Right Now,"House Work, walking, jogging, running",t6517640
The Cure,Lovesong,"House work, sitting",t6323624
Carolina Liar,I'm not over you,"House work, sitting, walking",t1227624
Incubus,Drive,"House work, sitting",t3924508
Duran Duran,Rio,"House work, walking",t2590424
Duran Duran,Hungry Like the Wolf,"House Work, walking, jogging",t2861778
King,Love and Pride,"House Work, walking, jogging, running",t3050337
Santana,Smooth,"House work, sitting, walking",t7899012
The Killers,Mr. Brightside,"House work, sitting",t2835453
The Killers,Somebody Told Me,"House work, sitting, walking",t2835575
Avenged Sevenfold,Seize the Day,"House Work, walking, sitting",t1183334
Aerosmith,Eat the Rich,"House Work, walking, jogging, running",t7399101
The Killers,All These Things That I've Done,"House Work, walking, jogging",t2835637
Dirty Heads,Stand Tall,"House work, sitting, walking",t3994832
Franz Ferdinand,Bite Hard,"House Work, walking, jogging",t2909855
Fatboy Slim,Weapon of Choice,"House Work, walking, jogging",t2611528
Blondie,Rapture,"House Work, walking, jogging",t4757348
Jay-Z,So Ghetto,"House Work, walking, jogging",t2867209
Norah Jones,Don't Know Why,"House work, sitting, walking",t3364509
The Police,Message in a Bottle,"House work, sitting, walking",t2804947

The Church,Under the Milky Way,Sitting,t8109124
Billy Idol,Flesh for Fantasy,"Sitting, House work",t2188485
Moving in Stereo,The Cars,"Sitting, Driving",t1259382
Jimmy Eat World,23,Sitting,t2792887
Jimmy Eat World,Pain,"Sitting, Walking, Driving",t2792544
Jimmy Eat World,Bleed American,"Sitting, Walking, Driving",t2837882
Aerosmith,I Don't Want to Miss a Thing,"Sitting, Driving",t2961120
Westlife,Queen of My Heart,"Sitting, Driving",t2917983
Westlife,I Cry,Sitting,t2918148
Aerosmith,Dream On,"Sitting, Driving",t2942813
Peter Frampton,Baby I Love Your Way,Sitting,t8078415
Blue Oyster Cult,Burning for You,"Sitting, Driving, Housework",t3023810
Blue Oyster Cult,Sinful Love,"Sitting, Driving, Housework",t3533491
Blue Oyster Cult,Revenge of Vera Gemini,"Sitting, Driving",t3533447
The Cardigans,Don't Blame Your Daughter,"Sitting, Driving",t5894708
The Cardigans,Little Black Cloud,"Sitting, Driving",t5894710
The Cardigans,Losing a Friend,Sitting,t5894695
Coldplay,Clocks,"Sitting, Driving, Housework",t6584361
Coldplay,Viva la Vida,"Sitting, Driving",t1381008
Rolling Stones,Beast of Burden,Sitting,t2711288
Rolling Stones,Angie,Sitting,t2710333
Michael Jackson,Stranger in Moscow,"Sitting, Driving",t7176967
Michael Jackson,Human Nature,"Sitting, Driving",t2892751
Papa Roach,Scars,"Sitting, Driving, Housework",t4808531
Linkin Park,Crawling,"Sitting, Driving",t1188389
Linkin Park,Somewhere I Belong,"Sitting, Driving, Housework",t1216266

The Offspring,The Kids Aren't Alright,"Walking, Sitting",t3000408
Third Eye Blind,Jumper,"Walking, Sitting, Driving",t1281789
Third Eye Blind,Semi-Charmed Life,"Walking, Sitting",t1312693
Rise Against,Prayer of the Refugee,"Walking, Driving",t2780704
Bloc Party,Helicopter,"Walking, Jogging, Driving, Exercising, Housework",t1164341
The Strokes,Reptilia,"Walking, Jogging, Driving, Exercising, Housework",t7771999
The Vines,Autumn Shade,"Walking, Sitting",t2567080
The Vines,Winning Days,"Walking, Sitting, Driving",t2567453
Gorillaz,Superfast Jellyfish,"Walking, Driving",t2056484
Gorillaz,Stylo,"Walking, Jogging, Driving, Exercising",t2056384
The Vines,Autumn Shade II,"Walking, Sitting",t2567422
Tom Petty,Refugee,"Walking, Sitting, Driving",t1563999
Stevie Nicks,Edge of Seventeen,"Walking, Sitting, Driving",t1523576
Billy Squier,The Stroke,"Walking, Jogging, Driving, Exercising, Housework",t8044132
King,Love and Pride,"Walking, Jogging, Driving, Exercising",t3050337
Ramones,Rock n' Roll High School,"Walking, Jogging, Driving, Exercising",t3795135
Oingo Boingo,Just Another Day,"Walking, Driving",t2863792
Oingo Boingo,Dead Man's Party,"Walking, Jogging, Driving, Exercising",t2863753
Supertramp,Logical,"Walking, Driving",t2872902
Supertramp,Goodbye Stranger,"Walking, Driving",t2872933
Macy Gray,I Try,"Walking, Driving, Sitting",t2938363
Oasis,Wonderwall,"Walking, Driving, Sitting",t1288628
Daniel Powter,Bad Day,"Walking, Driving, Sitting",t7223647
Edward Sharpe & the Magnetic Zeros,Janglin,"Walking, Driving, Sitting",t3984017
Fall Out Boy,Dance Dance,"Walking, Jogging, Driving, Exercising",t2289244
Green Day,Basket Case,"Walking, Driving, Sitting",t1235778

Disturbed,Down with the Sickness,"Running, Exercising",t1847188
Disturbed,Stricken,"Running, Exercising",t1175244
Korn,Twisted Transistor,"Running, Exercising, Jogging",t2065838
The Vines,Get Free,"Running, Exercising, Driving",t2567135
Linkin Park,Papercut,"Running, Exercising, Driving",t1188263
Linkin Park,Forgotten,"Running, Exercising",t1188553
Guns N' Roses,Paradise City,"Running, Exercising, Driving",t1515332
Ugly Duckling,Right Now,"Running, Exercising, Driving",t6517640
Ugly Duckling,Turn it Up,"Running, Exercising",t2208961
Billy Idol,Rebel Yell,"Running, Exercising, Driving",t3376454
Dirty Heads,Stand Tall,"Running, Exercising, Driving, Jogging",t3994832
Avenged Sevenfold,Bat Country,"Running, Exercising, Driving",t1183273
Avenged Sevenfold,Unholy Confessions,"Running, Exercising, Jogging",t2266420
Foo Fighters,The Pretener,"Running, Exercising, Jogging",t2893069
Muse,Feeling Good,"Running, Exercising, Driving",t1146726
Muse,Supermassive Black Hole,"Running, Exercising, Driving",t1552103
Beastie Boys,Intergalactic,"Running, Exercising, Driving",t2458302
Iron Maiden,2 Minutes to Midnight,"Running, Exercising, Jogging",t2959629
Iron Maiden,Number of the Beast,"Running, Exercising",t2960026
